,Symbol,Consensus,Consensus Score
0,MMM,Buy,3.782608695652174
1,AOS,Buy,3.5789473684210527
2,ABT,Buy,4.03125
3,ABBV,Buy,3.9714285714285715
4,ACN,Buy,3.966666666666667
5,ADBE,Buy,4.022222222222222
6,AMD,Buy,3.9272727272727272
7,AES,Buy,3.8947368421052633
8,AFL,Hold,3.3
9,A,Buy,3.730769230769231
10,APD,Buy,3.8275862068965516
11,ABNB,Hold,3.24
12,AKAM,Buy,4.0
13,ALB,Hold,3.4375
14,ARE,Buy,3.6470588235294117
15,ALGN,Buy,3.8260869565217392
16,ALLE,Buy,3.5
17,LNT,Buy,3.611111111111111
18,ALL,Buy,3.92
19,GOOGL,Buy,4.075757575757576
20,GOOG,Buy,4.075757575757576
21,MO,Buy,3.6818181818181817
22,AMZN,Buy,4.205128205128205
23,AMCR,Buy,3.8666666666666667
24,AMTM,Buy,4.0
25,AEE,Buy,3.7142857142857144
26,AEP,Buy,3.52
27,AXP,Hold,3.4
28,AIG,Buy,3.75
29,AMT,Buy,3.9642857142857144
30,AWK,Hold,3.45
31,AMP,Buy,3.7222222222222223
32,AME,Buy,3.8095238095238093
33,AMGN,Buy,3.6666666666666665
34,APH,Buy,3.739130434782609
35,ADI,Buy,3.9166666666666665
36,ANSS,Hold,3.473684210526316
37,AON,Hold,3.44
38,APA,Hold,3.242424242424242
39,AAPL,Buy,3.814814814814815
40,AMAT,Buy,3.9523809523809526
41,APTV,Buy,3.967741935483871
42,ACGL,Buy,4.043478260869565
43,ADM,Hold,2.526315789473684
44,ANET,Buy,4.064516129032258
45,AJG,Buy,3.8181818181818183
46,AIZ,Buy,3.75
47,T,Buy,3.9722222222222223
48,ATO,Buy,3.8333333333333335
49,ADSK,Buy,3.972972972972973
50,ADP,Hold,3.3636363636363638
51,AZO,Buy,4.0
52,AVB,Buy,3.642857142857143
53,AVY,Buy,3.888888888888889
54,AXON,Buy,4.25
55,BKR,Buy,4.032258064516129
56,BALL,Buy,3.8260869565217392
57,BAC,Buy,4.0
58,BAX,Hold,2.782608695652174
59,BDX,Buy,4.181818181818182
60,BRK.B,,
61,BBY,,
62,TECH,,
63,BIIB,,
64,BLK,,
65,BX,,
66,BK,,
67,BA,,
68,BKNG,,
69,BWA,,
70,BSX,,
71,BMY,,
72,AVGO,,
73,BR,,
74,BRO,,
75,BF.B,,
76,BLDR,,
77,BG,,
78,BXP,,
79,CHRW,,
80,CDNS,,
81,CZR,,
82,CPT,,
83,CPB,,
84,COF,,
85,CAH,,
86,KMX,,
87,CCL,,
88,CARR,,
89,CTLT,,
90,CAT,,
91,CBOE,,
92,CBRE,,
93,CDW,,
94,CE,,
95,COR,,
96,CNC,,
97,CNP,,
98,CF,,
99,CRL,,
100,SCHW,,
101,CHTR,,
102,CVX,,
103,CMG,,
104,CB,,
105,CHD,,
106,CI,,
107,CINF,Buy,3.8125
108,CTAS,Buy,3.56
109,CSCO,Buy,3.7096774193548385
110,C,Buy,4.074074074074074
111,CFG,Buy,3.769230769230769
112,CLX,Hold,2.7586206896551726
113,CME,Hold,3.4545454545454546
114,CMS,Buy,3.8260869565217392
115,KO,Buy,3.9722222222222223
116,CTSH,Hold,3.3333333333333335
117,CL,Buy,3.71875
118,CMCSA,Buy,3.7948717948717947
119,CAG,Hold,3.3181818181818183
120,COP,Buy,4.151515151515151
121,ED,Hold,2.740740740740741
122,STZ,Buy,3.8
123,CEG,Buy,4.0
124,COO,Buy,3.9565217391304346
125,CPRT,Buy,4.0
126,GLW,Buy,3.95
127,CPAY,Buy,4.08
128,CTVA,Buy,3.9655172413793105
129,CSGP,Buy,4.095238095238095
130,COST,Buy,3.933333333333333
131,CTRA,Buy,4.129032258064516
132,CRWD,Buy,4.035714285714286
133,CCI,Hold,3.28
134,CSX,Buy,3.96875
135,CMI,Buy,3.5714285714285716
136,CVS,Buy,3.787878787878788
137,DHI,Hold,3.4615384615384617
138,DHR,Buy,4.151515151515151
139,DRI,Buy,3.861111111111111
140,DVA,Hold,2.625
141,DAY,Buy,3.7916666666666665
142,DECK,Buy,3.7
143,DE,Buy,3.75
144,DELL,Buy,4.033333333333333
145,DAL,Buy,4.296296296296297
146,DVN,Buy,3.911764705882353
147,DXCM,Buy,4.28125
148,FANG,Buy,4.027027027027027
149,DLR,Buy,3.8666666666666667
150,DFS,Buy,3.619047619047619
151,DG,Buy,3.575
152,DLTR,Hold,3.4285714285714284
153,D,Hold,3.44
154,DPZ,Buy,3.972972972972973
155,DOV,Buy,3.9565217391304346
156,DOW,Hold,3.423076923076923
157,DTE,Buy,3.9166666666666665
158,DUK,Buy,3.7083333333333335
159,DD,Buy,3.9615384615384617
160,EMN,Buy,3.72
161,ETN,Buy,3.8484848484848486
162,EBAY,Hold,3.45
163,ECL,Buy,3.774193548387097
164,EIX,Buy,3.869565217391304
165,EW,Buy,3.6666666666666665
166,EA,Buy,3.7142857142857144
167,ELV,,
168,EMR,,
169,ENPH,,
170,ETR,,
171,EOG,,
172,EPAM,,
173,EQT,,
174,EFX,,
175,EQIX,,
176,EQR,,
177,ERIE,,
178,ESS,,
179,EL,,
180,EG,,
181,EVRG,,
182,ES,,
183,EXC,,
184,EXPE,,
185,EXPD,,
186,EXR,,
187,XOM,,
188,FFIV,,
189,FDS,,
190,FICO,,
191,FAST,,
192,FRT,,
193,FDX,,
194,FIS,,
195,FITB,,
196,FSLR,,
197,FE,,
198,FI,,
199,FMC,,
200,F,,
201,FTNT,,
202,FTV,,
203,FOXA,,
204,FOX,,
205,BEN,,
206,FCX,,
207,GRMN,,
208,IT,,
209,GE,,
210,GEHC,,
211,GEV,,
212,GEN,,
213,GNRC,,
214,GD,,
215,GIS,,
216,GM,,
217,GPC,,
218,GILD,,
219,GPN,,
220,GL,,
221,GDDY,,
222,GS,,
223,HAL,,
224,HIG,,
225,HAS,,
226,HCA,,
227,DOC,,
228,HSIC,,
229,HSY,,
230,HES,,
231,HPE,,
232,HLT,,
233,HOLX,,
234,HD,,
235,HON,,
236,HRL,,
237,HST,,
238,HWM,,
239,HPQ,,
240,HUBB,,
241,HUM,,
242,HBAN,,
243,HII,,
244,IBM,,
245,IEX,,
246,IDXX,,
247,ITW,,
248,INCY,,
249,IR,,
250,PODD,,
251,INTC,,
252,ICE,,
253,IFF,,
254,IP,,
255,IPG,,
256,INTU,,
257,ISRG,,
258,IVZ,,
259,INVH,,
260,IQV,,
261,IRM,,
262,JBHT,,
263,SJM,,
264,JBL,,
265,JKHY,,
266,J,,
267,JNJ,,
268,JCI,,
269,JPM,,
270,JNPR,,
271,K,,
272,KVUE,,
273,KDP,,
274,KEY,,
275,KEYS,,
276,KMB,,
277,KIM,,
278,KMI,,
279,KKR,,
280,KLAC,,
281,KHC,,
282,KR,,
283,LHX,,
284,LH,,
285,LRCX,,
286,LW,,
287,LVS,,
288,LDOS,,
289,LEN,,
290,LLY,,
291,LIN,,
292,LYV,,
293,LKQ,,
294,LMT,,
295,L,,
296,LOW,,
297,LULU,,
298,LYB,,
299,MTB,,
300,MRO,,
301,MPC,,
302,MKTX,,
303,MAR,,
304,MMC,,
305,MLM,,
306,MAS,,
307,MA,,
308,MTCH,,
309,MKC,,
310,MCD,,
311,MCK,,
312,MDT,,
313,MRK,,
314,META,Buy,4.141025641025641
315,MET,Buy,3.9047619047619047
316,MTD,Hold,3.263157894736842
317,MGM,Buy,4.0
318,MCHP,Buy,3.935483870967742
319,MU,Buy,4.1063829787234045
320,MSFT,Buy,4.246153846153846
321,MAA,Buy,3.6451612903225805
322,MRNA,Hold,3.25
323,MHK,Buy,3.772727272727273
324,MOH,Hold,3.4761904761904763
325,TAP,Hold,3.2
326,MDLZ,Buy,3.9393939393939394
327,MPWR,Buy,3.9565217391304346
328,MNST,Buy,3.696969696969697
329,MCO,Buy,3.7777777777777777
330,MS,Buy,3.6451612903225805
331,MOS,Hold,3.4583333333333335
332,MSI,Buy,4.166666666666667
333,MSCI,Buy,3.875
334,NDAQ,Buy,4.0
335,NTAP,Buy,3.5
336,NFLX,Buy,4.018518518518518
337,NEM,Buy,3.9166666666666665
338,NWSA,Buy,4.1875
339,NWS,Buy,4.1875
340,NEE,Buy,3.8518518518518516
341,NKE,Buy,3.6744186046511627
342,NI,Buy,4.25
343,NDSN,Buy,3.75
344,NSC,Buy,3.78125
345,NTRS,Hold,3.3636363636363638
346,NOC,Buy,3.6206896551724137
347,NCLH,Buy,3.9285714285714284
348,NRG,Buy,3.933333333333333
349,NUE,Buy,3.75
350,NVDA,Buy,4.246376811594203
351,NVR,Buy,3.5454545454545454
352,NXPI,Buy,3.864864864864865
353,ORLY,Buy,3.9444444444444446
354,OXY,Hold,3.4193548387096775
355,ODFL,Hold,3.3666666666666667
356,OMC,Buy,3.8125
357,ON,Buy,3.6666666666666665
358,OKE,Buy,3.727272727272727
359,ORCL,Buy,3.8444444444444446
360,OTIS,Hold,3.409090909090909
361,PCAR,Hold,3.4814814814814814
362,PKG,Buy,3.7857142857142856
363,PLTR,Hold,2.730769230769231
364,PANW,Buy,3.9166666666666665
365,PARA,Hold,2.7096774193548385
366,PH,Buy,4.066666666666666
367,PAYX,Hold,2.6956521739130435
368,PAYC,Hold,3.4615384615384617
369,PYPL,Buy,3.7058823529411766
370,PNR,Buy,3.8
371,PEP,Buy,3.607142857142857
372,PFE,Buy,3.586206896551724
373,PCG,Buy,4.0
374,PM,,
375,PSX,,
376,PNW,,
377,PNC,,
378,POOL,,
379,PPG,,
380,PPL,,
381,PFG,,
382,PG,,
383,PGR,,
384,PLD,,
385,PRU,,
386,PTC,,
387,PEG,,
388,PSA,,
389,PHM,,
390,QRVO,,
391,QCOM,,
392,PWR,,
393,DGX,,
394,RL,,
395,RJF,,
396,O,,
397,REG,,
398,REGN,,
399,RF,,
400,RSG,,
401,RMD,,
402,RVTY,,
403,ROK,,
404,ROL,,
405,ROP,,
406,ROST,,
407,RCL,,
408,RTX,,
409,SPGI,,
410,CRM,,
411,SBAC,,
412,SLB,,
413,STX,,
414,SRE,,
415,NOW,,
416,SHW,,
417,SPG,,
418,SWKS,,
419,SW,,
420,SNA,,
421,SOLV,,
422,SO,,
423,LUV,,
424,SWK,,
425,SBUX,,
426,STT,,
427,STLD,,
428,STE,,
429,SYK,,
430,SMCI,,
431,SYF,,
432,SNPS,,
433,SYY,,
434,TMUS,,
435,TROW,,
436,TTWO,,
437,TPR,,
438,TRGP,,
439,TGT,,
440,TEL,,
441,TDY,,
442,TFX,,
443,TER,,
444,TSLA,,
445,TXN,,
446,TXT,,
447,TMO,,
448,TJX,,
449,TSCO,,
450,TT,,
451,TDG,,
452,TRV,,
453,TRMB,,
454,TFC,,
455,TYL,,
456,TSN,,
457,USB,,
458,UBER,,
459,UDR,,
460,ULTA,,
461,UNP,,
462,UAL,,
463,UPS,,
464,URI,,
465,UNH,,
466,UHS,,
467,VLO,,
468,VTR,,
469,VLTO,,
470,VRSN,,
471,VRSK,,
472,VZ,,
473,VRTX,,
474,VTRS,,
475,VICI,,
476,V,,
477,VST,,
478,VMC,,
479,WRB,,
480,GWW,,
481,WAB,,
482,WBA,,
483,WMT,,
484,DIS,,
485,WBD,,
486,WM,,
487,WAT,,
488,WEC,,
489,WFC,,
490,WELL,,
491,WST,,
492,WDC,,
493,WY,,
494,WMB,,
495,WTW,,
496,WYNN,,
497,XEL,,
498,XYL,,
499,YUM,,
500,ZBRA,,
501,ZBH,,
502,ZTS,,
MMM,,,
AOS,,,
ABT,,,
ABBV,,,
ACN,,,
ADBE,,,
AMD,,,
AES,,,
AFL,,,
A,,,
APD,,,
ABNB,,,
AKAM,,,
ALB,,,
ARE,,,
ALGN,,,
ALLE,,,
LNT,,,
ALL,,,
GOOGL,,,
GOOG,,,
MO,,,
AMZN,,,
AMCR,,,
AMTM,,,
AEE,,,
AEP,,,
AXP,,,
AIG,,,
AMT,,,
AWK,,,
AMP,,,
AME,,,
AMGN,,,
APH,,,
ADI,,,
ANSS,,,
AON,,,
APA,,,
AAPL,,,
AMAT,,,
APTV,,,
ACGL,,,
ADM,,,
ANET,,,
AJG,,,
AIZ,,,
T,,,
ATO,,,
ADSK,,,
ADP,,,
AZO,,,
AVB,,,
AVY,,,
AXON,,,
BKR,,,
BALL,,,
BAC,,,
BAX,,,
BDX,,,
